rental_type,complex_name,district,address,address_norm,house_type,building_form,completion_year,unit_type,area_exclusive_m2,room_count,household_count,unit_count,elevator,parking_count,heating_type,eligibility_summary,supply_class,income_bracket,household_size,protection_type,unit_no,priority_rank,deposit_krw,rent_krw,lat,lon,geocode_precision,geocode_shift_m,pnu,anchor_lat,anchor_lon,anchor_dist_m,anchor_score,hospital_dist_m,hospital_score,library_dist_m,library_score,mart_dist_m,mart_score,park_dist_m,park_score,sports_dist_m,sports_score,subway_dist_m,subway_score,daycare_dist_m,daycare_score,kindergarten_dist_m,kindergarten_score,elementary_dist_m,elementary_score,middle_school_dist_m,middle_school_score,high_school_dist_m,high_school_score,cafe_cnt_750m,cafe_score,convenience_cnt_750m,convenience_score,gym_cnt_750m,gym_score,laundry_cnt_750m,laundry_score,vet_cnt_750m,vet_score,study_cafe_cnt_750m,study_cafe_score,restaurant_cnt_750m,restaurant_score,bakery_cnt_750m,bakery_score,hair_salon_cnt_750m,hair_salon_score,pharmacy_cnt_750m,pharmacy_score,store_total_750m,noise_store_750m,noise_ratio,bustle_pct,noise_pct,vibe_t,vibe_score
매입임대,수영동,수영구,부산광역시 수영구 망미번영로74번길 62,부산광역시 수영구 망미번영로74번길 62,단독주택,,1990,,38.94,2,3,1,미설치,0,,무주택 일반,,,,,101,,4704000,54000,35.1731786,129.1139552,Google 건물번지,100,2.65001E+18,,,,,915,1,1064,1,788,0.9797,333,1,1198,0.7611,208,1,164,1,381,1,402,1,1190,0.7653,1462,0.6203,58,0.6154,27,0.6538,9,0.4872,15,0.4872,0,0,0,0.0256,405,0.6923,21,0.6795,95,0.6154,0,0.359,1498,198,0.1322,0.6923,0.8205,,
매입임대,수영동,수영구,부산광역시 수영구 수영성로 21-9,부산광역시 수영구 수영성로 21-9,다세대주택,,1989,,75.03,3,4,1,미설치,0,,무주택 일반,,,,,201,,4503000,75000,35.1698311,129.1178582,Google 건물번지,67,2.65001E+18,,,,,595,1,1607,1,1260,0.728,439,1,999,0.8672,723,1,233,1,632,1,864,0.9392,1044,0.8432,1512,0.5968,70,0.7821,27,0.6538,10,0.5641,17,0.6026,0,0,4,0.5385,423,0.7949,24,0.8333,102,0.7692,1,0.859,1572,215,0.1368,0.7692,0.8718,,
매입임대,,수영구,부산광역시 수영구 수영성로 21-9,부산광역시 수영구 수영성로 21-9,다세대주택,,1989,,43.38,3,4,1,미설치,0,,무주택 일반,,,,,102,,,,35.1698311,129.1178582,Google 건물번지,67,2.65001E+18,,,,,595,1,1607,1,1260,0.728,439,1,999,0.8672,723,1,233,1,632,1,864,0.9392,1044,0.8432,1512,0.5968,70,0.7821,27,0.6538,10,0.5641,17,0.6026,0,0,4,0.5385,423,0.7949,24,0.8333,102,0.7692,1,0.859,1572,215,0.1368,0.7692,0.8718,,
매입임대,수영동,수영구,부산광역시 수영구 수영성로 21-9,부산광역시 수영구 수영성로 21-9,다세대주택,,1989,,49.32,3,4,1,미설치,0,,무주택 일반,,,,,101,,4503000,75000,35.1698311,129.1178582,Google 건물번지,67,2.65001E+18,,,,,595,1,1607,1,1260,0.728,439,1,999,0.8672,723,1,233,1,632,1,864,0.9392,1044,0.8432,1512,0.5968,70,0.7821,27,0.6538,10,0.5641,17,0.6026,0,0,4,0.5385,423,0.7949,24,0.8333,102,0.7692,1,0.859,1572,215,0.1368,0.7692,0.8718,,
매입임대,광안동,수영구,부산광역시 수영구 연수로382번길 77(광안동),부산광역시 수영구 연수로382번길 77,단독주택,,1991,,53.58,3,5,1,미설치,0,,무주택 일반,,,,,101,,4610000,39000,35.1670061,129.1097721,Google 건물번지,235,2.65001E+18,,,,,545,1,1082,1,876,0.9328,533,1,2004,0.4656,627,1,468,0.9008,359,1,357,1,533,1,658,1,64,0.641,31,0.7179,15,0.859,18,0.6538,0,0,5,0.6538,372,0.6154,20,0.6154,100,0.7179,1,0.859,1438,205,0.1426,0.641,0.9487,,
매입임대,광안동,수영구,부산광역시 수영구 장대골로52번길 10(광안동),부산광역시 수영구 장대골로52번길 10,단독주택,,1991,,58.51,3,3,1,미설치,0,,무주택 일반,,,,,201,,5416000,38000,35.1599701,129.1081296,Google 건물번지,19,2.65001E+18,,,,,608,1,370,1,693,1,474,1,1008,0.8624,660,1,42,1,465,1,312,1,327,1,1092,0.8176,36,0.4359,19,0.4744,12,0.7051,15,0.4872,0,0,6,0.7949,191,0.4615,14,0.4487,67,0.3333,0,0.359,850,65,0.0765,0.4615,0.0769,,
매입임대,,수영구,부산광역시 수영구 장대골로52번길 10(광안동),부산광역시 수영구 장대골로52번길 10,단독주택,,1991,,29.41,2,3,1,미설치,0,,무주택 일반,,,,,101,,,,35.1599701,129.1081296,Google 건물번지,19,2.65001E+18,,,,,608,1,370,1,693,1,474,1,1008,0.8624,660,1,42,1,465,1,312,1,327,1,1092,0.8176,36,0.4359,19,0.4744,12,0.7051,15,0.4872,0,0,6,0.7949,191,0.4615,14,0.4487,67,0.3333,0,0.359,850,65,0.0765,0.4615,0.0769,,
매입임대,광안동,수영구,부산광역시 수영구 장대골로52번길 10(광안동),부산광역시 수영구 장대골로52번길 10,단독주택,,1991,,34.29,2,3,1,미설치,0,,무주택 일반,,,,,102,,5416000,38000,35.1599701,129.1081296,Google 건물번지,19,2.65001E+18,,,,,608,1,370,1,693,1,474,1,1008,0.8624,660,1,42,1,465,1,312,1,327,1,1092,0.8176,36,0.4359,19,0.4744,12,0.7051,15,0.4872,0,0,6,0.7949,191,0.4615,14,0.4487,67,0.3333,0,0.359,850,65,0.0765,0.4615,0.0769,,
매입임대,광안동,수영구,부산광역시 수영구 수영로665번길 21-6(광안동),부산광역시 수영구 수영로665번길 21-6,단독주택,,1991,,30.28,2,5,1,미설치,0,,무주택 일반,,,,,202,,4668000,10000,35.1651753,129.1134409,Google 건물번지,35,2.65001E+18,,,,,259,1,1262,1,489,1,824,0.9605,1838,0.5099,161,1,272,1,148,1,148,1,1026,0.8528,1116,0.8048,67,0.6667,36,0.8077,16,0.9103,17,0.6026,0,0,4,0.5385,501,0.9487,26,0.9359,114,0.8718,1,0.859,1786,240,0.1344,0.9487,0.8462,,
매입임대,광안동,수영구,부산광역시 수영구 수영로665번길 21-6(광안동),부산광역시 수영구 수영로665번길 21-6,단독주택,,1991,,63.56,3,5,1,미설치,0,,무주택 일반,,,,,201,,4668000,10000,35.1651753,129.1134409,Google 건물번지,35,2.65001E+18,,,,,259,1,1262,1,489,1,824,0.9605,1838,0.5099,161,1,272,1,148,1,148,1,1026,0.8528,1116,0.8048,67,0.6667,36,0.8077,16,0.9103,17,0.6026,0,0,4,0.5385,501,0.9487,26,0.9359,114,0.8718,1,0.859,1786,240,0.1344,0.9487,0.8462,,
매입임대,광안동,수영구,부산광역시 수영구 수영로665번길 21-6(광안동),부산광역시 수영구 수영로665번길 21-6,단독주택,,1991,,32.84,2,5,1,미설치,0,,무주택 일반,,,,,103,,4668000,10000,35.1651753,129.1134409,Google 건물번지,35,2.65001E+18,,,,,259,1,1262,1,489,1,824,0.9605,1838,0.5099,161,1,272,1,148,1,148,1,1026,0.8528,1116,0.8048,67,0.6667,36,0.8077,16,0.9103,17,0.6026,0,0,4,0.5385,501,0.9487,26,0.9359,114,0.8718,1,0.859,1786,240,0.1344,0.9487,0.8462,,
매입임대,광안동,수영구,부산광역시 수영구 수영로665번길 21-6(광안동),부산광역시 수영구 수영로665번길 21-6,단독주택,,1991,,34.61,2,5,1,미설치,0,,무주택 일반,,,,,102,,4668000,10000,35.1651753,129.1134409,Google 건물번지,35,2.65001E+18,,,,,259,1,1262,1,489,1,824,0.9605,1838,0.5099,161,1,272,1,148,1,148,1,1026,0.8528,1116,0.8048,67,0.6667,36,0.8077,16,0.9103,17,0.6026,0,0,4,0.5385,501,0.9487,26,0.9359,114,0.8718,1,0.859,1786,240,0.1344,0.9487,0.8462,,
매입임대,광안동,수영구,부산광역시 수영구 수영로665번길 21-6(광안동),부산광역시 수영구 수영로665번길 21-6,단독주택,,1991,,33.63,2,5,1,미설치,0,,무주택 일반,,,,,101,,4668000,10000,35.1651753,129.1134409,Google 건물번지,35,2.65001E+18,,,,,259,1,1262,1,489,1,824,0.9605,1838,0.5099,161,1,272,1,148,1,148,1,1026,0.8528,1116,0.8048,67,0.6667,36,0.8077,16,0.9103,17,0.6026,0,0,4,0.5385,501,0.9487,26,0.9359,114,0.8718,1,0.859,1786,240,0.1344,0.9487,0.8462,,
매입임대,광안동,수영구,부산광역시 수영구 무학로9번길 61-4(광안동),부산광역시 수영구 무학로9번길 61-4,단독주택,,1993,,86.46,4,3,1,미설치,0,,무주택 일반,,,,,201,,4385000,76000,35.164604,129.1152234,Google 건물번지,60,2.65001E+18,,,,,330,1,1390,1,449,1,905,0.9173,1766,0.5291,136,1,355,1,279,1,371,1,1092,0.8176,1339,0.6859,69,0.7179,40,1,19,0.9872,24,0.9615,0,0,6,0.7949,522,0.9744,27,0.9872,117,0.9103,1,0.859,1891,241,0.1274,0.9744,0.7436,,
매입임대,광안동,수영구,부산광역시 수영구 무학로9번길 61-4(광안동),부산광역시 수영구 무학로9번길 61-4,단독주택,,1993,,47.88,2,3,1,미설치,0,,무주택 일반,,,,,102,,4385000,76000,35.164604,129.1152234,Google 건물번지,60,2.65001E+18,,,,,330,1,1390,1,449,1,905,0.9173,1766,0.5291,136,1,355,1,279,1,371,1,1092,0.8176,1339,0.6859,69,0.7179,40,1,19,0.9872,24,0.9615,0,0,6,0.7949,522,0.9744,27,0.9872,117,0.9103,1,0.859,1891,241,0.1274,0.9744,0.7436,,
매입임대,광안동,수영구,부산광역시 수영구 무학로9번길 61-4(광안동),부산광역시 수영구 무학로9번길 61-4,단독주택,,1993,,48.96,2,3,1,미설치,0,,무주택 일반,,,,,101,,4385000,76000,35.164604,129.1152234,Google 건물번지,60,2.65001E+18,,,,,330,1,1390,1,449,1,905,0.9173,1766,0.5291,136,1,355,1,279,1,371,1,1092,0.8176,1339,0.6859,69,0.7179,40,1,19,0.9872,24,0.9615,0,0,6,0.7949,522,0.9744,27,0.9872,117,0.9103,1,0.859,1891,241,0.1274,0.9744,0.7436,,
매입임대,명성갤러리3,수영구,"부산광역시 수영구 수영로606번길 100(광안동,명성갤러리3)",부산광역시 수영구 수영로606번길 100,다세대주택,,2018,,28.1,1,19,1,설치,10,,무주택 일반,,,,,401,2,2170000,162000,35.1588173,129.1189826,Google 건물번지,160,2.65001E+18,,,,,740,1,1651,1,761,0.9941,634,1,1594,0.5749,699,1,275,1,348,1,358,1,223,1,2089,0.4429,101,1,36,0.8077,13,0.7692,24,0.9615,0,0,5,0.6538,438,0.8462,26,0.9359,97,0.6795,0,0.359,1727,196,0.1135,0.8974,0.5897,,
